Tahun;BahanMakanan;MakananJadi;ALGBB;Sandang;Kesehatan;PenRekOl;TransKomKeu;Umum
2019;4.28;3.97;1.75;4.93;3.46;3.25;0.17;2.72
2018;3.41;3.91;2.43;3.59;3.14;3.15;3.16;3.13
2017;1.26;4.1;5.14;3.92;2.99;3.33;4.23;3.61
2016;5.69;5.38;1.9;3.05;3.92;2.73;-0.72;3.02
2015;4.93;6.42;3.34;3.43;5.32;3.97;-1.53;3.35
2014;10.57;8.11;7.36;3.08;5.71;4.44;12.14;8.36
2013;11.35;7.45;6.22;0.52;3.7;3.91;15.36;8.38
2012;5.68;6.11;3.35;4.67;2.91;4.21;2.2;4.3
2011;3.64;4.51;3.47;7.57;4.26;5.16;1.92;3.79
2010;15.64;6.96;4.08;6.51;2.19;3.29;2.69;6.96
